0;Fields group;Management of the resource;;;;;;;;;;;;Metadata of the text (description of item);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Link(s) to related resources;;0
0;;;;;;;;;;;;;;;;;;;;;;;;Text type;;;;;Language(s) and script(s);;;;;;;;;;;;Lettering format;;;;;;;;;;Filiation;;;;;;Rights;;;;0
0;Fields;Identifier of the resource;Origin of the metadata;Editor of the metadata;Date of the edition;Contributor of the metadata;Date of contribution;Type of contribution;Reviewer;Date of review;Project;Corpus;Distribution rights of the metadata;Identifier of the text;Designation;Alternative identifier;Alternative designation;Alternative designation;Alternative designation;Alternative designation;Alternative designation;Location on the artefact/conglomerate artefact/monument;ID of the artefact/conglomerate artefact/monument;Text type 1;Text type 2;Text type 3;Text type 4;Lines;Language 1;Script classification 1;Script maturity 1;Language 2;Script classification 2;Script maturity 2;Language 3;Script classification 3;Script maturity 3;Language 4;Script classification 4;Script maturity 4;Lettering technique;Height of text;Width of text;Lines;Height of glyph;Width of glyph;Date CE;Date interval CE;Date precision;Date evidence;Duplicate ID;Reissue ID;Reissue date;Bibliographical references;Keyword(s);Remarks;Project responsible for publication;Distribution rights of the text;Identifier of the surrogate;Identifier of the digital image;0
;;INSPandya00046;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00047;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00048;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00049;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00049;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00050;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00051;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00052;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00053;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00053;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00054;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00055;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00056;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00056;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00057;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00058;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00059;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00059;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00060;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00060;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00061;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00062;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00063;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00064;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00065;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00065;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00066;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00066;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00067;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00067;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00068;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00069;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00069;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
