0,Fields group,Management of the resource,,,,,,,,,,,Metadata of the text (description of item),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link(s) to related resources,,,0
0,,,,,,,,,,,,,Text identity,,,,,,Related  entities,,,Text typology,,,,Language(s) and script(s),,,,,,,,,,,,Physical form,,,,,,,Date of the text,,,,,Filiation,,,,,,,Rights,,,,,0
0,Fields,Identifier of the resource,Origin of the metadata,DHARMA import,Editor of the metadata,Date of the edition,Contributor of the metadata,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the text,Designation,Alternative identifier,Alternative designation,Alternative designation,Location on the artefact/conglomerate artefact/monument,ID of the artefact(s),ID of the conglomerate artefact,ID of the monument,Text type 1,Text type 2,Text type 3,Text type 4,Language 1,Script classification 1,Script maturity 1,Language 2,Script classification 2,Script maturity 2,Language 3,Script classification 3,Script maturity 3,Language 4,Script classification 4,Script maturity 4,Lettering technique,Lines (observed),Lines (estimated),Lines per zone(s),Dimensions of text zone(s),Height of glyph,Width of glyph,Date CE,Date range CE,Date certainty,Date precision,Date evidence,Other instances,Type of filiation,Reissue date,Bibliographic references (primary),Bibliographic references (secondary),Keyword(s),Remarks,Project responsible for publication,Distribution rights of the text edition,Identifier of the surrogate,Identifier of the digital image,Link to external repository of images,0
51,,INSDaksinaKosala00051,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,51
52,,INSDaksinaKosala00052,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,52
53,,INSDaksinaKosala00053,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,53
54,,INSDaksinaKosala00054,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,DHARMA_ conART00030_1.1v$DHARMA_ conART00030_5.3v,,54
55,,INSDaksinaKosala00055,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,DHARMA_ conART00031_1.1v$DHARMA_ conART00031_5.3v,,55
56,,INSDaksinaKosala00056,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,DHARMA_ conART00032_1.1v$DHARMA_ conART00032_5.3v,,56
57,,INSDaksinaKosala00057,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,DHARMA_ conART00033_1.1v$DHARMA_ conART00033_5.3v,,57
58,,INSDaksinaKosala00058,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,DHARMA_ conART00034_1.1v$DHARMA_ conART00034_4.3r,,58
59,,INSDaksinaKosala00059,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,DHARMA_ conART00035_1.1v$DHARMA_ conART00035_5.3v,,59
60,,INSDaksinaKosala00060,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,DHARMA_ conART00036_1.1v$DHARMA_ conART00036_5.3v,,60
61,,INSDaksinaKosala00061,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,DHARMA_ conART00037_1.1v$DHARMA_ conART00037_5.3v,,61
62,,INSDaksinaKosala00062,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,62
63,,INSDaksinaKosala00063,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,DHARMA_ conART00039_1.set$DHARMA_ conART00039_8.seal,,63
64,,INSDaksinaKosala00064,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,64
65,,INSDaksinaKosala00065,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,DHARMA_ ART000009_1.1v,,65
66,,INSDaksinaKosala00066,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,66
67,,INSDaksinaKosala00067,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,DHARMA_ conART00041_1.1v$DHARMA_ conART00041_4.3r,,67
68,,INSDaksinaKosala00068,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,68
69,,INSDaksinaKosala00069,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,69
70,,INSDaksinaKosala00070,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,70
71,,INSDaksinaKosala00071,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,71
72,,INSDaksinaKosala00072,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,72
73,,INSDaksinaKosala00073,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,73
74,,INSDaksinaKosala00074,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,74
75,,INSDaksinaKosala00075,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,75
76,,INSDaksinaKosala00076,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,76
77,,INSDaksinaKosala00077,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,77
78,,INSDaksinaKosala00078,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,78
79,,INSDaksinaKosala00079,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,79
80,,INSDaksinaKosala00080,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,80
81,,INSDaksinaKosala00081,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,81
82,,INSDaksinaKosala00082,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,82
83,,INSDaksinaKosala00083,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,83
84,,INSDaksinaKosala00084,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,84
85,,INSDaksinaKosala00085,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,85
86,,INSDaksinaKosala00086,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,86
87,,INSDaksinaKosala00087,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,87
88,,INSDaksinaKosala00088,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,88
89,,INSDaksinaKosala00089,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,89
90,,INSDaksinaKosala00090,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,90
91,,INSDaksinaKosala00091,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,91
92,,INSDaksinaKosala00092,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,92
93,,INSDaksinaKosala00093,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,93
94,,INSDaksinaKosala00094,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,94
95,,INSDaksinaKosala00095,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,95
96,,INSDaksinaKosala00096,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,96
97,,INSDaksinaKosala00097,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,97
98,,INSDaksinaKosala00098,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,98
99,,INSDaksinaKosala00099,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,99
100,,INSDaksinaKosala00100,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,100
